varCode,varLabel,unit
cq11,region,categorical
cq12,zone/special wereda,categorical
cq13,wereda,categorical
cq14,town,categorical
cq15,sub-city,categorical
cq16,kebele,categorical
cq17,ea,categorical
cq18,hh serial number,id
ur,urban / rural,categorical
rep,reporting level,categorical
weight,household sample weight,
ader,Average Dietary Energy Requirement for HH (2005 standards),
calcium_ae,Calcium (unknown unit) of food consumed per adult equivalent per day,
calcium_hh,Calcium (unknown unit) of food consumed per HH per day,
calcium_pc,Calcium (unknown unit) of food consumed per capita per day,
caloric_inadequacy,% of HH or people who are food energy-deficient (calories_hh < mder),percentage
calories_ae,Net calories (kcal) of food consumed per adult equivalent per day,kcal
calories_hh,Net calories (kcal) of food consumed per HH per day,kcal
calories_pc,Net calories (kcal) of food consumed per capita per day,kcal
ddi,Dietary Diversity Index (DDI),index
hdds,Household Dietary Diversity Score (HDDS),
iron_ae,Iron (unknown unit) of food consumed per adult equivalent per day,
iron_hh,Iron (unknown unit) of food consumed per HH per day,
iron_pc,Iron (unknown unit) of food consumed per capita per day,
mder,Minimum Dietary Energy Requirement for HH (2005 standards),
pct_calories_non_starchy_hh,% of calories from non-starchy foods per HH,percentage
pct_calories_significant_hh,% of calories from nutritionally significant food groups per HH,percentage
pct_protein_animal_hh,% of protein from animal source food,percentage
pct_staples_calories_hh,% of food energy from staples per HH,percentage
protein_ae,Protein (unknown unit) of food consumed per adult equivalent per day,
protein_hh,Protein (unknown unit) of food consumed per HH per day,
protein_pc,Protein (unknown unit) of food consumed per capita per day,
rodi,Revealed Optimal Diversity index,index
shannon,Shannon index,index
simpson,Simpson index,index
value_ae,Value (Birr) of food consumed per adult equivalent per day,Birr
value_hh,Value (Birr) of food consumed per HH per day,Birr
value_pc,Value (Birr) of food consumed per capita per day,Birr
vitamina_ae,Vitamin A (unknown unit) of food consumed per adult equivalent per day,
vitamina_hh,Vitamin A (unknown unit) of food consumed per HH per day,
vitamina_pc,Vitamin A (unknown unit) of food consumed per capita per day,
zinc_ae,Zinc (unknown unit) of food consumed per adult equivalent per day,
zinc_hh,Zinc (unknown unit) of food consumed per HH per day,
zinc_pc,Zinc (unknown unit) of food consumed per capita per day,
